tradingitemid,ind_long,ind_short,proba_long,proba_short,marketcap,volume,beta,borrowcost,borrowavailability_base
2644491,1,0,0.7048131136,0.2951868864,1082.682716,691830,0.8053917408,0.0047537257,88233850
2610781,1,0,0.6830321782,0.3169678218,4967.82486,3935640,0.9323707841,0.2523214286,175702185
2592567,1,0,0.6742482102,0.3257517898,595.285784,670080,0.9644592294,0.3,23862975
2640147,1,0,0.6733053006,0.3266946994,229.293,18220,1.203258919,0.0047537257,2157765
2632809,1,0,0.6709706913,0.3290293087,748.99011,120655,0.7257464935,0.0047537257,4710070
25758143,1,0,0.6697936627,0.3302063373,11594.7504,14793635,0.7347672233,0.0047537257,623162015
2641791,1,0,0.6697331875,0.3302668125,2625.07059,2705775,1.365631676,0.0047537257,148617205
2620068,1,0,0.6680395788,0.3319604212,2517.76105,1277160,1.293761675,0.0047537257,106572150
2655816,1,0,0.6673723165,0.3326276835,1053.593268,592630,0.8215693701,0.2053571429,67372990
2631524,1,0,0.6672539176,0.3327460824,1338.850467,1210,1.608864192,0.0047537257,0
2631522,1,0,0.6672539176,0.3327460824,1338.850467,531835,1.693541348,0.0047537257,16786765
29198406,1,0,0.6651182792,0.3348817208,13046.25465,12576605,1.004027864,0.2153571429,1018552180
2665786,1,0,0.6644982596,0.3355017404,5866.116008,2210530,0.7804310583,0.2026785714,203427075
46291896,1,0,0.6638299907,0.3361700093,3895.847577,1767755,0.5262336638,0.2153571429,116073275
2658541,1,0,0.6635528426,0.3364471574,3405.376263,3011590,0.6449361781,0.2803571429,137605150
2663500,1,0,0.6614051998,0.3385948002,1485.462171,1546600,0.9480955128,0.3,0
22352829,1,0,0.6610836759,0.3389163241,292.5637,119975,0.4830917641,0.2,19559500
2621697,1,0,0.6601076073,0.3398923927,171950.6327,21995445,0.5838057186,0.2180071429,1391462560
61793523,1,0,0.6593349178,0.3406650822,4305.336086,2159630,0.5094982376,0.017221244,14743585
325621650,1,0,0.6593349178,0.3406650822,4305.336086,2159630,0.5094982048,0.017221244,14743585
2628884,1,0,0.659027689,0.340972311,1074.636825,494950,0.505917004,0.1817871429,31570510
2663510,1,0,0.6584424184,0.3415575816,1134.258303,468135,1.146606622,0.0047537257,43620420
2637397,1,0,0.6569747905,0.3430252095,2340.959442,1897075,1.509220596,0.09535714285,164607385
2644080,1,0,0.6564090078,0.3435909922,426.597539,24965,2.05444873,0.3,10241510
2654325,1,0,0.6546858186,0.3453141814,4142.48571,7848525,1.397617831,0.3968585714,77857550
2617819,1,0,0.6546481753,0.3453518247,4437.48872,3722330,0.7736100723,0.1791528571,131485820
2600796,1,0,0.6544043538,0.3455956462,7613.7978,5138245,0.7064356028,0.2025042857,272034445
